,Title,Author(s),Number in Series,Series Title,Length of Series,Publication Month,Publication Day,Publication Year,Number of Pages,Genres,Similar Books,Rating,Number of Ratings,Number of 5-Star Ratings,Number of 4-Star Ratings,Number of 3-Star Ratings,Number of 2-Star Ratings,Number of 1-Star Ratings,Number of Reviews,Cover Image Tag,Synopsis
0,1984,George Orwell,,,,April,8,1949,298,,"To Kill a Mockingbird by Harper Lee,, The Great Gatsby by F. Scott Fitzgerald,, Fahrenheit 451 by Ray Bradbury,, The Catcher in the Rye by J.D. Salinger,, Brave New World by Aldous Huxley,, Lord of the Flies by William Golding,, Harry Potter and the Sorcerer's Stone (Harry Potter, #1) by J.K. Rowling,, The Hobbit by J.R.R. Tolkien,, The Hunger Games (The Hunger Games, #1) by Suzanne Collins,, Of Mice and Men by John Steinbeck,, Pride and Prejudice by Jane Austen,, The Diary of a Young Girl by Anne Frank,, The Little Prince by Antoine de Saint-Exupéry,, The Metamorphosis by Franz Kafka,, The Alchemist by Paulo Coelho,, The Picture of Dorian Gray by Oscar Wilde,, The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1) by Douglas Adams,, Romeo and Juliet by William Shakespeare",4.19,3820332,1806702,1242757,544887,147075,78911,89015,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1532714506l/40961427._SX318_.jpg,"Among the seminal texts of the 20th century,Nineteen Eighty-Fouris a rare work that grows more haunting as its futuristic purgatory becomes more real. Published in 1949, the book offers political satirist George Orwell's nightmarish vision of a totalitarian, bureaucratic world and one poor stiff's attempt to find individuality. The brilliance of the novel is Orwell's pre"
1,Absolute Rage,Robert K. Tanenbaum,14,Butch Karp,29,August,13,2002,480,"Mystery, Fiction, Legal Thriller, Thriller, Mystery Thriller, Audiobook","Win (Windsor Horne Lockwood III, #1) by Harlan Coben,, Wrongful Death (David Sloane, #2) by Robert Dugoni,, Damage Control by Robert Dugoni,, Three Women Disappear by James Patterson,, The Jury Master (David Sloane, #1) by Robert Dugoni,, Super Gut: A Four-Week Plan to Reprogram Your Microbiome, Restore Health, and Lose Weight by William  Davis,, Sisters in Arms by Kaia Alderson,, Ready or Not!: 150+ Make-Ahead, Make-Over, and Make-Now Recipes by Nom Nom Paleo by Michelle Tam,, A Christmas in the Alps by Melody Carlson,, Becoming Myself: Embracing God's Dream of You by Stasi Eldredge,, Long Range (Joe Pickett #20) by C.J. Box,, Nom Nom Paleo: Let's Go! by Michelle Tam,, Goldilocks and the Three Bears by Ladybird Books,, How to Make Anything Gluten-Free: Over 100 recipes for everything from home comforts to fakeaways, cakes to dessert, brunch to bread! by Becky Excell,, Bodily Harm (David Sloane, #3) by Robert Dugoni,, Relentless (Gray Man #10) by Mark Greaney,, Atlantis Found (Dirk Pitt, #15) by Clive Cussler,, Princess in the Spotlight (The Princess Diaries, #2) by Meg Cabot",4.04,1012,342,414,215,35,6,62,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1341079965l/1487493.jpg,"New York Timesbestselling author Robert K. Tanenbaum delivers his grittiest, most ethically challenging thriller yet, as New York chief assistant district attorney Butch Karp fights for his family in the wilds of West Virginia's coal mining country.While New York City sizzles beneath a blanket of early summer humidity, the Karp family is happily taking refuge in their r"
2,The Age of Innocence,"Edith Wharton, James Zimmerhoff",,,,October,19,1920,293,"Classics, Fiction, Historical Fiction, Romance, Literature, American, Novels, Historical, New York, 20th Century","A Room with a View by E.M. Forster,, The Portrait of a Lady by Henry James,, Agnes Grey by Anne Brontë,, Middlemarch by George Eliot,, Northanger Abbey by Jane Austen,, North and South by Elizabeth Gaskell,, Washington Square by Henry James,, Persuasion by Jane Austen,, The Tenant of Wildfell Hall by Anne Brontë,, Far From the Madding Crowd by Thomas Hardy,, Tess of the D'Urbervilles by Thomas Hardy,, His Family by Ernest Poole,, Howards End by E.M. Forster",3.96,154799,52610,57180,33799,8321,2889,8338,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388248423l/53835.jpg,"Winner of the 1921 Pulitzer Prize,The Age of InnocenceisEdith Wharton’s masterful portrait of desire and betrayal during the sumptuous Golden Age of Old New York, a time when society people “dreaded scandal more than disease.”This is Newland Archer’s world as he prepares to marry the beautiful but conventional May Welland. But when the mysterious Countess Ellen Olenska"
3,The Adventures of Huckleberry Finn,Mark Twain,2,Adventures of Tom and Huck,4,December,18,1884,327,"Classics, Fiction, Historical Fiction, Literature, Young Adult, Adventure, School, Novels, Read For School, American","The Scarlet Letter by Nathaniel Hawthorne,, The Odyssey by Homer,, A Tale of Two Cities by Charles Dickens,, Of Mice and Men by John Steinbeck,, The Old Man and the Sea by Ernest Hemingway,, Romeo and Juliet by William Shakespeare,, Moby-Dick or, the Whale by Herman Melville,, Great Expectations by Charles Dickens,, Hamlet by William Shakespeare,, Alice's Adventures in Wonderland / Through the Looking-Glass by Lewis Carroll,, The Grapes of Wrath by John Steinbeck,, Treasure Island by Robert Louis Stevenson,, Oliver Twist by Charles Dickens,, Lord of the Flies by William Golding,, The Crucible by Arthur  Miller,, The Great Gatsby by F. Scott Fitzgerald,, Robinson Crusoe (Robinson Crusoe, #1) by Daniel Defoe,, Macbeth by William Shakespeare",3.82,1210766,368888,417312,301667,89262,33637,17439,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546096879l/2956.jpg,"A nineteenth-century boy from a Mississippi River town recounts his adventures as he travels down the river with a runaway slave, encountering a family involved in a feud, two scoundrels pretending to be royalty, and Tom Sawyer's aunt who mistakes him for Tom."
4,The Adventures of Tom Sawyer,Mark Twain,1,Adventures of Tom and Huck,4,June,18,1876,244,"Classics, Fiction, Adventure, Young Adult, Historical Fiction, Literature, Childrens, School, Novels, American","Romeo and Juliet by William Shakespeare,, A Tale of Two Cities by Charles Dickens,, The Little Prince by Antoine de Saint-Exupéry,, The Old Man and the Sea by Ernest Hemingway,, The Odyssey by Homer,, The Scarlet Letter by Nathaniel Hawthorne,, Great Expectations by Charles Dickens,, Little Women by Louisa May Alcott,, Oliver Twist by Charles Dickens,, A Christmas Carol by Charles Dickens,, The Secret Garden by Frances Hodgson Burnett,, Treasure Island by Robert Louis Stevenson,, Robinson Crusoe (Robinson Crusoe, #1) by Daniel Defoe,, The Count of Monte Cristo by Alexandre Dumas,, Of Mice and Men by John Steinbeck,, Animal Farm by George Orwell,, Hamlet by William Shakespeare,, The Great Gatsby by F. Scott Fitzgerald",3.92,847233,278245,305825,196463,48334,18366,11787,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404811979l/24583.jpg,"The Adventures of Tom Sawyer revolves around the youthful adventures of the novel's schoolboy protagonist, Thomas Sawyer, whose reputation precedes him for causing mischief and strife. Tom lives with his Aunt Polly, half-brother Sid, and cousin Mary in the quaint town of St. Petersburg, just off the shore of the Mississippi River. St. Petersburg is described as a typical s"
5,Alice's Adventures in Wonderland,Lewis Carroll,1,Alice's Adventures in Wonderland,2,November,26,1865,320,"Classics, Fantasy, Fiction, Childrens, Audiobook, Adventure, Young Adult, Middle Grade, Literature, 19th Century","The Wonderful Wizard of Oz (Oz, #1) by L. Frank Baum,, Peter Pan by J.M. Barrie,, The Little Prince by Antoine de Saint-Exupéry,, Winnie-the-Pooh (Winnie-the-Pooh, #1) by A.A. Milne,, The Secret Garden by Frances Hodgson Burnett,, Charlie and the Chocolate Factory (Charlie Bucket, #1) by Roald Dahl,, A Christmas Carol by Charles Dickens,, Matilda by Roald Dahl,, Anne of Green Gables (Anne of Green Gables, #1) by L.M. Montgomery,, The BFG by Roald Dahl,, The Witches by Roald Dahl,, Dr. Jekyll and Mr. Hyde by Robert Louis Stevenson,, The Adventures of Tom Sawyer by Mark Twain,, James and the Giant Peach by Roald Dahl,, Coraline by Neil Gaiman,, How the Grinch Stole Christmas! by Dr. Seuss,, The Lorax by Dr. Seuss,, Romeo and Juliet by William Shakespeare",3.99,324312,128770,101950,65386,19342,8864,13928,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1647953436l/60671823._SX318_.jpg,"Chris Riddell's brilliant new full-colour illustratedAlice’s Adventures in Wonderlandin a sumptuous hardback and jacketed edition. A perfect gift for families, children and all fans of this much-loved favourite classic.First published by Macmillan more than 150 years ago, Lewis Carroll’s iconic story has been loved and enjoyed by generations of children.This edition pres"
6,All the President's Men,"Carl Bernstein, Bob Woodward",,,,June,5,1974,480,"History, Nonfiction, Politics, Journalism, American History, True Crime, Classics, Historical, Presidents, Biography","The Final Days by Bob Woodward,, The Secret Man: The Story of Watergate's Deep Throat by Bob Woodward,, The Last of the President's Men by Bob Woodward,, Bush at War by Bob Woodward,, State of Denial by Bob Woodward,, Fear: Trump in the White House by Bob Woodward,, Secrets: A Memoir of Vietnam and the Pentagon Papers by Daniel Ellsberg,, The Brethren: Inside the Supreme Court by Bob Woodward,, Blind Ambition: The White House Years by John W. Dean,, Peril by Bob Woodward,, Rage by Bob Woodward,, The Wars of Watergate: The Last Crisis of Richard Nixon by Stanley I. Kutler,, Wired: The Short Life and Fast Times of John Belushi by Bob Woodward,, The Nixon Defense: What He Knew and When He Knew It by John W. Dean,, The Making of the President 1960 by Theodore H. White,, Raiders Night by Robert Lipsyte,, Plan of Attack by Bob Woodward,, Silent Violence by D.M. Samson",4.16,51542,21774,19644,7619,1584,921,1830,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347805228l/96123.jpg,"The full account of the Watergate scandal from the twoWashington Postreporters who broke the story. This is “the work that brought down a presidency— perhaps the most influential piece of journalism in history” (Time, All-Time 100 Best Nonfiction Books).This is the book that changed America. Published just two months before President Nixon’s resignation,All the Presiden"
7,All the Pretty Horses,Cormac McCarthy,1,The Border Trilogy,3,May,11,1992,302,"Fiction, Westerns, Historical Fiction, Classics, Literature, Novels, Literary Fiction, American, Contemporary, Adventure","Lonesome Dove (Lonesome Dove #1) by Larry McMurtry,, The Book of the Dun Cow (Chauntecleer the Rooster, #1) by Walter Wangerin Jr.,, As I Lay Dying by William Faulkner,, A Gathering of Old Men by Ernest J. Gaines,, Streets of Laredo (Lonesome Dove #2) by Larry McMurtry,, Butcher's Crossing by John  Williams,, True Grit by Charles Portis,, Dead Man's Walk (Lonesome Dove, #3) by Larry McMurtry,, Comanche Moon (Lonesome Dove, #4) by Larry McMurtry,, Horseman, Pass By by Larry McMurtry,, White Noise by Don DeLillo,, The Crying of Lot 49 by Thomas Pynchon,, Understanding Cormac McCarthy by Steven  Frye,, A Bloody and Barbarous God: The Metaphysics of Cormac McCarthy by Petra Mundik,, East of Eden by John Steinbeck,, To Hell on a Fast Horse Updated Edition: The Untold Story of Billy the Kid and Pat by Mark Lee Gardner,, The Last Picture Show by Larry McMurtry,, The Sound and the Fury by William Faulkner",4.01,103608,35940,41445,19321,5002,1900,6928,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1538659953l/469571._SY475_.jpg,"All the Pretty Horsestells of young John Grady Cole, the last of a long line of Texas ranchers. Across the border Mexico beckons—beautiful and desolate, rugged and cruelly civilized. With two companions, he sets off on an idyllic, sometimes comic adventure, to a place where dreams are paid for in blood."
8,The Amazing Adventures of Kavalier & Clay,Michael Chabon,,,,September,19,2000,639,"Fiction, Historical Fiction, Novels, Literature, Historical, Literary Fiction, Contemporary, Comics, Jewish, New York","The Brief Wondrous Life of Oscar Wao by Junot Díaz,, The Corrections by Jonathan Franzen,, Middlesex by Jeffrey Eugenides,, A Visit from the Goon Squad by Jennifer Egan,, Empire Falls by Richard Russo,, The Shipping News by Annie Proulx,, Freedom by Jonathan Franzen,, A Confederacy of Dunces by John Kennedy Toole,, Everything Is Illuminated by Jonathan Safran Foer,, American Pastoral (The American Trilogy, #1) by Philip Roth,, The Ruins of Cair Nynian by Marcus Attwater,, The World According to Garp by John Irving,, Four Stories by Marcus Attwater,, A Heartbreaking Work of Staggering Genius by Dave Eggers,, Martin Dressler: The Tale of an American Dreamer by Steven Millhauser,, Farewell, My Lovely by Raymond Chandler,, Cloud Atlas by David Mitchell",4.18,193551,89698,64398,27232,8625,3598,11487,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1503806495l/3985._SY475_.jpg,"Joe Kavalier, a young Jewish artist who has also been trained in the art of Houdini-esque escape, has just smuggled himself out of Nazi-invaded Prague and landed in New York City. His Brooklyn cousin Sammy Clay is looking for a partner to create heroes, stories, and art for the latest novelty to hit America - the comic book. Drawing on their own fears and dreams, Kavalier"
9,American Steel,Richard   Preston,,,,,19,1991,278,"Business, History, Nonfiction","A History of Wild Places by Shea Ernshaw,, The Kremlin Conspiracy (Marcus Ryker #1) by Joel C. Rosenberg,, Leviathan Falls (The Expanse, #9) by James S.A. Corey,, Four Live Rounds by Blake Crouch,, The Best Thing You Can Steal by Simon R. Green,, Glengarry Glen Ross by David Mamet,, Basket Case by Carl Hiaasen,, The Kaiju Preservation Society by John Scalzi,, Will Haunt You by Brian Kirk,, Mucho Mojo (Hap and Leonard, #2) by Joe R. Lansdale,, Finlay Donovan Knocks 'Em Dead (Finlay Donovan, #2) by Elle Cosimano,, The Decagon House Murders by Yukito Ayatsuji,, Pornucopia (Pornucopia, #1) by Piers Anthony,, Sixteen Horses by Greg  Buchanan,, An Ambush of Widows by Jeff Abbott,, Mastermind (Theo Cray and Jessica Blackwood #1) by Andrew Mayne,, Lock In (Lock In, #1) by John Scalzi,, The Two-Bear Mambo (Hap and Leonard, #3) by Joe R. Lansdale",4.12,226,95,80,36,12,3,22,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387666252l/22165.jpg,"Acclaimed writer Richard Preston chronicles the nearly superhuman effort by the Nucor Corporation, America's ninth-largest steel company to build a revolutionary new steel plant from the ashes of the midwestern Rust Belt. Elegantly written and compulsively readable, American Steel has all the elements of a great novel: amazing characters, gripping suspense, towering machin"
